dialogue_id,map_id,giver_map_filename,follower_map_filename
q4ec4,m0,map0g.png,map0f.png
q4nc4,m0,map0g.png,map0f.png
q4ec6,m0,map0g.png,map0f.png
q4nc6,m0,map0g.png,map0f.png
q8ec4,m0,map0g.png,map0f.png
q8nc4,m0,map0g.png,map0f.png
q8ec6,m0,map0g.png,map0f.png
q8nc6,m0,map0g.png,map0f.png
q3ec4,m1,map1g.png,map1f.png
q3nc4,m1,map1g.png,map1f.png
q3ec6,m1,map1g.png,map1f.png
q3nc6,m1,map1g.png,map1f.png
q7ec4,m1,map1g.png,map1f.png
q7nc4,m1,map1g.png,map1f.png
q7ec6,m1,map1g.png,map1f.png
q7nc6,m1,map1g.png,map1f.png
q2ec4,m2,map2g.png,map2f.png
q2nc4,m2,map2g.png,map2f.png
q2ec6,m2,map2g.png,map2f.png
q2nc6,m2,map2g.png,map2f.png
q6ec4,m2,map2g.png,map2f.png
q6nc4,m2,map2g.png,map2f.png
q6ec6,m2,map2g.png,map2f.png
q6nc6,m2,map2g.png,map2f.png
q1ec4,m3,map3g.png,map3f.png
q1nc4,m3,map3g.png,map3f.png
q1ec6,m3,map3g.png,map3f.png
q1nc6,m3,map3g.png,map3f.png
q5ec4,m3,map3g.png,map3f.png
q5nc4,m3,map3g.png,map3f.png
q5ec6,m3,map3g.png,map3f.png
q5nc6,m3,map3g.png,map3f.png
q3ec3,m4,map4g.png,map4f.png
q3nc3,m4,map4g.png,map4f.png
q3ec5,m4,map4g.png,map4f.png
q3nc5,m4,map4g.png,map4f.png
q7ec3,m4,map4g.png,map4f.png
q7nc3,m4,map4g.png,map4f.png
q7ec5,m4,map4g.png,map4f.png
q7nc5,m4,map4g.png,map4f.png
q2ec3,m5,map5g.png,map5f.png
q2nc3,m5,map5g.png,map5f.png
q2ec5,m5,map5g.png,map5f.png
q2nc5,m5,map5g.png,map5f.png
q6ec3,m5,map5g.png,map5f.png
q6nc3,m5,map5g.png,map5f.png
q6ec5,m5,map5g.png,map5f.png
q6nc5,m5,map5g.png,map5f.png
q1ec3,m6,map6g.png,map6f.png
q1nc3,m6,map6g.png,map6f.png
q1ec5,m6,map6g.png,map6f.png
q1nc5,m6,map6g.png,map6f.png
q5ec3,m6,map6g.png,map6f.png
q5nc3,m6,map6g.png,map6f.png
q5ec5,m6,map6g.png,map6f.png
q5nc5,m6,map6g.png,map6f.png
q4ec3,m7,map7g.png,map7f.png
q4nc3,m7,map7g.png,map7f.png
q4ec5,m7,map7g.png,map7f.png
q4nc5,m7,map7g.png,map7f.png
q8ec3,m7,map7g.png,map7f.png
q8nc3,m7,map7g.png,map7f.png
q8ec5,m7,map7g.png,map7f.png
q8nc5,m7,map7g.png,map7f.png
q2ec2,m8,map8g.png,map8f.png
q2ec8,m8,map8g.png,map8f.png
q2nc2,m8,map8g.png,map8f.png
q2nc8,m8,map8g.png,map8f.png
q6ec2,m8,map8g.png,map8f.png
q6ec8,m8,map8g.png,map8f.png
q6nc2,m8,map8g.png,map8f.png
q6nc8,m8,map8g.png,map8f.png
q1ec2,m9,map9g.png,map9f.png
q1nc2,m9,map9g.png,map9f.png
q1ec8,m9,map9g.png,map9f.png
q1nc8,m9,map9g.png,map9f.png
q5ec2,m9,map9g.png,map9f.png
q5nc2,m9,map9g.png,map9f.png
q5ec8,m9,map9g.png,map9f.png
q5nc8,m9,map9g.png,map9f.png
q4ec2,m10,map10g.png,map10f.png
q4nc2,m10,map10g.png,map10f.png
q4ec8,m10,map10g.png,map10f.png
q4nc8,m10,map10g.png,map10f.png
q8ec2,m10,map10g.png,map10f.png
q8nc2,m10,map10g.png,map10f.png
q8ec8,m10,map10g.png,map10f.png
q8nc8,m10,map10g.png,map10f.png
q3ec2,m11,map11g.png,map11f.png
q3nc2,m11,map11g.png,map11f.png
q3ec8,m11,map11g.png,map11f.png
q3nc8,m11,map11g.png,map11f.png
q7ec2,m11,map11g.png,map11f.png
q7nc2,m11,map11g.png,map11f.png
q7ec8,m11,map11g.png,map11f.png
q7nc8,m11,map11g.png,map11f.png
q1ec1,m12,map12g.png,map12f.png
q1nc1,m12,map12g.png,map12f.png
q1ec7,m12,map12g.png,map12f.png
q1nc7,m12,map12g.png,map12f.png
q5ec1,m12,map12g.png,map12f.png
q5nc1,m12,map12g.png,map12f.png
q5ec7,m12,map12g.png,map12f.png
q5nc7,m12,map12g.png,map12f.png
q4ec1,m13,map13g.png,map13f.png
q4nc1,m13,map13g.png,map13f.png
q4ec7,m13,map13g.png,map13f.png
q4nc7,m13,map13g.png,map13f.png
q8ec1,m13,map13g.png,map13f.png
q8nc1,m13,map13g.png,map13f.png
q8ec7,m13,map13g.png,map13f.png
q8nc7,m13,map13g.png,map13f.png
q3ec1,m14,map14g.png,map14f.png
q3nc1,m14,map14g.png,map14f.png
q3ec7,m14,map14g.png,map14f.png
q3nc7,m14,map14g.png,map14f.png
q7ec1,m14,map14g.png,map14f.png
q7nc1,m14,map14g.png,map14f.png
q7ec7,m14,map14g.png,map14f.png
q7nc7,m14,map14g.png,map14f.png
q2ec1,m15,map15g.png,map15f.png
q2nc1,m15,map15g.png,map15f.png
q2ec7,m15,map15g.png,map15f.png
q2nc7,m15,map15g.png,map15f.png
q6ec1,m15,map15g.png,map15f.png
q6nc1,m15,map15g.png,map15f.png
q6ec7,m15,map15g.png,map15f.png
q6nc7,m15,map15g.png,map15f.png
