id,map,name,assim,sim,contr,omo,follower_map_appears,giver_map_appears
m0_start,m0,start,no_assim,same,no_contr,no,1,1
m0_camera_shop,m0,camera shop,sw,same,no_contr,no,1,1
m0_parked_van,m0,parked van,tdel,dif_r_fnum01,no_contr,no,1,2
m0_allotments,m0,allotments,ws,same,no_contr,no,1,1
m0_yacht_club,m0,yacht club,no_assim,same,no_contr,no,1,1
m0_flight_museum,m0,flight museum,glott,dif_f10,no_contr,no,1,0
m0_disused_monastery,m0,disused monastery,ddel,same,no_contr,no,1,1
m0_west_lake,m0,west lake,tdel,dif_f10,no_contr,no,1,0
m0_alpine_garden,m0,alpine garden,nass,same,no_contr,no,1,1
m0_youth_hostel,m0,youth hostel,no_assim,dif_f01,no_contr,no,0,1
m0_telephone_box,m0,telephone box,nass,same,no_contr,no,1,1
m0_level_crossing,m0,level crossing,sw,dif_f10,no_contr,no,1,0
m0_thatched_mud_hut,m0,thatched mud hut,tdel,dif_f01,no_contr,yes,0,1
m0_east_lake,m0,east lake,tdel,same,no_contr,no,1,1
m0_picket_fence,m0,picket fence,glott,same,no_contr,no,1,1
m0_finish,m0,finish,no_assim,dif_f01,no_contr,no,0,1
m1_start,m1,start,no_assim,same,no_contr,no,1,1
m1_crest_falls,m1,crest falls,tdel,same,no_contr,no,1,1
m1_banana_tree,m1,banana tree,ws,dif_f10,no_contr,no,1,0
m1_footbridge,m1,footbridge,no_assim,same,no_contr,no,1,1
m1_poisoned_stream,m1,poisoned stream,ddel,dif_r_fnum01,no_contr,no,1,2
m1_old_temple,m1,old temple,no_assim,same,no_contr,no,1,1
m1_slate_mountain,m1,slate mountain,glott,dif_f10,no_contr,no,1,0
m1_abandoned_truck,m1,abandoned truck,ws,same,no_contr,no,1,1
m1_baboons,m1,baboons,ws,dif_f01,no_contr,no,0,1
m1_white_mountain,m1,white mountain,glott,same,no_contr,no,1,1
m1_lemon_grove,m1,lemon grove,nass,dif_f10,no_contr,no,1,0
m1_pyramid,m1,pyramid,sw,same,no_contr,no,1,1
m1_cobbled_street,m1,cobbled street,ddel,dif_f01,no_contr,yes,0,1
m1_remote_village,m1,remote village,glott,same,no_contr,no,1,1
m1_finish,m1,finish,no_assim,dif_f01,no_contr,no,0,1
m2_start,m2,start,no_assim,same,no_contr,no,1,1
m2_diamond_mine,m2,diamond mine,ddel,same,no_contr,no,1,1
m2_wagon_wheel,m2,wagon wheel,sw,dif_f01,no_contr,no,0,1
m2_rift_valley,m2,rift valley,tdel,same,no_contr,no,1,1
m2_cactus,m2,cactus,no_assim,dif_f10,no_contr,no,1,0
m2_rocks,m2,rocks,no_assim,same,no_contr,no,1,1
m2_stone_creek,m2,stone creek,nass,dif_r_fnum01,no_contr,no,1,2
m2_white_water,m2,white water,glott,dif_flab01,no_contr,no,0,1
m2_rapids,m2,rapids,no_assim,dif_flab10,no_contr,no,1,0
m2_swamp,m2,swamp,no_assim,same,no_contr,no,1,1
m2_manned_fort,m2,manned fort,ddel,dif_f10,no_contr,no,1,0
m2_outlaws_hideout,m2,outlaws hideout,no_assim,same,no_contr,no,1,1
m2_gold_mine,m2,gold mine,ddel,dif_f10,no_contr,no,1,0
m2_noose,m2,noose,no_assim,same,no_contr,no,1,1
m2_swan_pond,m2,swan pond,nass,dif_f01,no_contr,yes,0,1
m2_saloon_bar,m2,saloon bar,ws,same,no_contr,no,1,1
m2_stone_slabs,m2,stone slabs,no_assim,same,no_contr,no,1,1
m2_finish,m2,finish,no_assim,dif_f01,no_contr,no,0,1
m3_start,m3,start,no_assim,same,no_contr,no,1,1
m3_cliffs,m3,cliffs,no_assim,dif_flab01,no_contr,no,0,1
m3_sandstone_cliffs,m3,sandstone cliffs,nass,dif_flab10,no_contr,no,1,0
m3_forge,m3,forge,no_assim,dif_f01,no_contr,no,0,1
m3_old_pine,m3,old pine,no_assim,same,no_contr,no,1,1
m3_green_bay,m3,green bay,nass,dif_f10,no_contr,no,1,0
m3_pine_forest,m3,pine forest,no_assim,same,no_contr,no,1,1
m3_forest_stream,m3,forest stream,tdel,dif_f10,no_contr,no,1,0
m3_bakery,m3,bakery,sw,same,no_contr,no,1,1
m3_canal,m3,canal,ws,dif_f01,no_contr,no,0,1
m3_crane_bay,m3,crane bay,nass,same,no_contr,no,1,1
m3_wheat_fields,m3,wheat fields,glott,dif_r_fnum01,no_contr,no,1,2
m3_rocket_warehouse,m3,rocket warehouse,glott,same,no_contr,yes,1,1
m3_cave,m3,cave,no_assim,dif_f10,no_contr,no,1,0
m3_old_lighthouse,m3,old lighthouse,ddel,same,no_contr,no,1,1
m3_finish,m3,finish,no_assim,dif_f01,no_contr,no,0,1
m4_start,m4,start,no_assim,same,no_contr,no,1,1
m4_site_of_forest_fire,m4,site of forest fire,tdel,same,no_contr,no,1,1
m4_picnic_site,m4,picnic site,no_assim,dif_f01,no_contr,no,0,1
m4_adventure_playground,m4,adventure playground,ws,same,no_contr,no,1,1
m4_farmyard,m4,farmyard,no_assim,same,no_contr,no,1,1
m4_privately_owned_fields,m4,privately owned fields,ddel,dif_f10,no_contr,no,1,0
m4_granite_quarry,m4,granite quarry,no_assim,same,no_contr,no,1,1
m4_train_crossing,m4,train crossing,nass,dif_r_fnum01,no_contr,no,1,2
m4_waterfall,m4,waterfall,sw,same,no_contr,no,1,1
m4_public_footpath,m4,public footpath,no_assim,dif_f10,no_contr,no,1,0
m4_fallen_cairn,m4,fallen cairn,nass,same,no_contr,no,1,1
m4_limestone_cliffs,m4,limestone cliffs,nass,dif_f01,no_contr,no,0,1
m4_lion_country,m4,lion country,nass,dif_f10,no_contr,no,1,0
m4_east_lake,m4,east lake,tdel,same,nocontrsh,no,1,1
m4_cornfields,m4,cornfields,no_assim,same,no_contr,no,1,1
m4_finish,m4,finish,no_assim,dif_f01,no_contr,no,0,1
m5_start,m5,start,no_assim,same,no_contr,no,1,1
m5_missionary_camp,m5,missionary camp,sw,same,no_contr,no,1,1
m5_gorillas,m5,gorillas,no_assim,dif_feat01,no_contr,no,0,1
m5_banana_tree,m5,banana tree,ws,dif_feat10,no_contr,no,1,0
m5_rope_bridge,m5,rope bridge,no_assim,same,no_contr,no,1,1
m5_straight_river,m5,straight river,glott,dif_f10,no_contr,no,1,0
m5_waterfall,m5,waterfall,sw,same,no_contr,no,1,1
m5_lost_steps,m5,lost steps,tdel,dif_r_fnum01,no_contr,no,1,2
m5_fallen_pillars,m5,fallen pillars,nass,same,no_contr,no,1,1
m5_flamingoes,m5,flamingoes,ws,dif_f10,no_contr,no,1,0
m5_ancient_ruins,m5,ancient ruins,no_assim,dif_flab01,no_contr,no,0,1
m5_ruined_city,m5,ruined city,ddel,dif_flab10,no_contr,no,1,0
m5_stones,m5,stones,no_assim,dif_f01,no_contr,no,0,1
m5_rock_fall,m5,rock fall,no_assim,dif_f10,no_contr,no,1,0
m5_white_mountain,m5,white mountain,glott,same,nocontrsh,no,1,1
m5_soft_furnishings_store,m5,soft furnishings store,tdel,dif_f01,no_contr,yes,0,1
m5_gazelles,m5,gazelles,ws,same,no_contr,no,1,1
m5_finish,m5,finish,no_assim,dif_f01,no_contr,no,0,1
m6_start,m6,start,no_assim,same,no_contr,no,1,1
m6_diamond_mine,m6,diamond mine,ddel,same,nocontrsh,no,1,1
m6_graveyard,m6,graveyard,no_assim,dif_f01,no_contr,no,0,1
m6_fast_flowing_river,m6,fast flowing river,tdel,dif_flab01,no_contr,no,0,1
m6_fast_running_creek,m6,fast running creek,tdel,dif_flab10,no_contr,no,1,0
m6_canoes,m6,canoes,no_assim,dif_f10,no_contr,no,1,0
m6_apache_camp,m6,apache camp,ws,same,no_contr,no,1,1
m6_carved_wooden_pole,m6,carved wooden pole,ddel,dif_r_fnum01,no_contr,no,1,2
m6_walled_city,m6,walled city,ddel,same,no_contr,yes,1,1
m6_ghost_town,m6,ghost town,no_assim,dif_f10,no_contr,no,1,0
m6_flat_rocks,m6,flat rocks,glott,same,no_contr,no,1,1
m6_saloon_bar,m6,saloon bar,nass,dif_f10,no_contr,no,1,0
m6_buffalo,m6,buffalo,sw,same,no_contr,no,1,1
m6_cattle_ranch,m6,cattle ranch,no_assim,dif_f01,no_contr,no,0,1
m6_fort,m6,fort,no_assim,same,no_contr,no,1,1
m6_desert,m6,desert,no_assim,same,no_contr,no,1,1
m6_stone_creek,m6,stone creek,nass,same,no_contr,no,1,1
m6_finish,m6,finish,no_assim,dif_f01,no_contr,no,0,1
m7_start,m7,start,no_assim,same,no_contr,no,1,1
m7_burnt_forest,m7,burnt forest,no_assim,same,no_contr,no,1,1
m7_carpenters_cottage,m7,carpenter's cottage,sw,dif_f10,no_contr,no,1,0
m7_ravine,m7,ravine,ws,same,no_contr,no,1,1
m7_remote_village,m7,remote village,no_assim,dif_f01,no_contr,no,0,1
m7_pine_grove,m7,pine grove,nass,same,no_contr,no,1,1
m7_avalanche,m7,avalanche,sw,dif_f10,no_contr,no,1,0
m7_concealed_hideout,m7,concealed hideout,ws,same,no_contr,no,1,1
m7_boat_house,m7,boat house,glott,dif_r_fnum01,no_contr,no,1,2
m7_tilled_land,m7,tilled land,no_assim,same,no_contr,no,1,1
m7_crane_bay,m7,crane bay,nass,same,nocontrsh,no,1,1
m7_coconut_palm,m7,coconut palm,glott,dif_f01,no_contr,yes,0,1
m7_pebbled_shore,m7,pebbled shore,ddel,same,no_contr,no,1,1
m7_washed_stones,m7,washed stones,tdel,dif_f10,no_contr,no,1,0
m7_flagship,m7,flagship,no_assim,same,no_contr,no,1,1
m7_finish,m7,finish,no_assim,dif_f01,no_contr,no,0,1
m8_start,m8,start,no_assim,same,no_contr,no,1,1
m8_telephone_kiosk,m8,telephone kiosk,sw,same,no_contr,no,1,1
m8_stone_circle,m8,stone circle,no_assim,dif_f01,no_contr,no,0,1
m8_farmers_gate,m8,farmer's gate,no_assim,dif_flab01,no_contr,no,0,1
m8_broken_gate,m8,broken gate,nass,dif_flab10,no_contr,no,1,0
m8_meadow,m8,meadow,no_assim,same,no_contr,no,1,1
m8_overnight_accommodation,m8,overnight accommodation,ws,dif_f10,no_contr,no,1,0
m8_ruined_monastery,m8,ruined monastery,ddel,same,no_contr,no,1,1
m8_west_lake,m8,west lake,tdel,dif_f01,no_contr,no,0,1
m8_stile,m8,stile,no_assim,same,no_contr,no,1,1
m8_popular_tourist_spot,m8,popular tourist spot,tdel,dif_f10,no_contr,no,1,0
m8_dead_tree,m8,dead tree,no_assim,dif_flab01,no_contr,no,0,1
m8_dutch_elm,m8,dutch elm,no_assim,dif_flab10,no_contr,no,1,0
m8_great_viewpoint,m8,great viewpoint,glott,dif_r_fnum01,no_contr,no,1,2
m8_rocket_launch_pad,m8,rocket launch pad,glott,dif_f10,no_contr,yes,1,0
m8_east_lake,m8,east lake,tdel,same,no_contr,no,1,1
m8_finish,m8,finish,no_assim,dif_f01,no_contr,no,0,1
m9_start,m9,start,no_assim,same,no_contr,no,1,1
m9_stony_desert,m9,stony desert,no_assim,same,no_contr,no,1,1
m9_site_of_plane_crash,m9,site of plane crash,nass,dif_r_fnum01,no_contr,no,1,2
m9_collapsed_shelter,m9,collapsed shelter,tdel,same,no_contr,no,1,1
m9_waterhole,m9,waterhole,no_assim,dif_f10,no_contr,no,1,0
m9_savannah,m9,savannah,ws,same,no_contr,no,1,1
m9_slate_mountain,m9,slate mountain,glott,dif_f01,no_contr,no,0,1
m9_hot_wells,m9,hot wells,glott,dif_flab01,no_contr,no,0,1
m9_hot_springs,m9,hot springs,glott,dif_flab10,no_contr,no,1,0
m9_elephants,m9,elephants,sw,dif_f10,no_contr,no,1,0
m9_white_mountain,m9,white mountain,glott,same,no_contr,no,1,1
m9_round_rocks,m9,round rocks,ddel,dif_f10,no_contr,no,1,0
m9_lake,m9,lake,no_assim,same,no_contr,no,1,1
m9_roman_baths,m9,roman baths,nass,dif_f01,no_contr,yes,0,1
m9_antelope,m9,antelope,sw,same,no_contr,no,1,1
m9_finish,m9,finish,no_assim,dif_f01,no_contr,no,0,1
m10_start,m10,start,no_assim,same,no_contr,no,1,1
m10_diamond_mine,m10,diamond mine,ddel,same,no_contr,no,1,1
m10_springboks,m10,springboks,no_assim,dif_f01,no_contr,no,0,1
m10_highest_viewpoint,m10,highest viewpoint,tdel,same,no_contr,no,1,1
m10_overgrown_gully,m10,overgrown gully,nass,dif_f10,no_contr,no,1,0
m10_safari_truck,m10,safari truck,ws,same,no_contr,no,1,1
m10_field_station,m10,field station,ddel,dif_r_fnum01,no_contr,no,1,2
m10_banana_tree,m10,banana tree,ws,same,no_contr,no,1,1
m10_gold_mine,m10,gold mine,ddel,dif_f01,no_contr,no,0,1
m10_rope_bridge,m10,rope bridge,no_assim,same,no_contr,no,1,1
m10_crocodiles,m10,crocodiles,sw,dif_f10,no_contr,no,1,0
m10_giraffes,m10,giraffes,ws,same,no_contr,no,1,1
m10_disused_warehouse,m10,disused warehouse,ddel,dif_f10,no_contr,yes,1,0
m10_great_lake,m10,great lake,glott,same,no_contr,no,1,1
m10_rock_fall,m10,rock fall,no_assim,same,no_contr,no,1,1
m10_finish,m10,finish,no_assim,dif_f01,no_contr,no,0,1
m11_start,m11,start,no_assim,same,no_contr,no,1,1
m11_haystack,m11,haystack,no_assim,same,no_contr,no,1,1
m11_blacksmith,m11,blacksmith,no_assim,dif_f10,no_contr,no,1,0
m11_carpenters_cottage,m11,carpenter's cottage,sw,same,no_contr,no,1,1
m11_green_bay,m11,green bay,nass,dif_f01,no_contr,no,0,1
m11_seven_beeches,m11,seven beeches,nass,same,no_contr,no,1,1
m11_chapel,m11,chapel,sw,dif_f01,no_contr,no,0,1
m11_reclaimed_fields,m11,reclaimed fields,ddel,same,no_contr,no,1,1
m11_white-washed_cottage,m11,white-washed cottage,glott,dif_f10,no_contr,no,1,0
m11_crane_bay,m11,crane bay,nass,same,no_contr,no,1,1
m11_vast_meadow,m11,vast meadow,tdel,dif_r_fnum01,no_contr,no,1,2
m11_attractive_cliffs,m11,attractive cliffs,ws,same,no_contr,no,1,1
m11_moored_boats,m11,moored boats,no_assim,same,no_contr,no,1,1
m11_chestnut_tree,m11,chestnut tree,no_assim,same,no_contr,no,1,1
m11_crashed_spaceship,m11,crashed spaceship,tdel,dif_f10,no_contr,yes,1,0
